year,city,country,avg_temp,global_avg_temp
1917,Columbus,United States,12.72,8.02
1918,Columbus,United States,14.10,8.13
1919,Columbus,United States,14.57,8.38
1920,Columbus,United States,13.50,8.36
1921,Columbus,United States,15.52,8.57
1922,Columbus,United States,14.93,8.41
1923,Columbus,United States,14.14,8.42
1924,Columbus,United States,13.08,8.51
1925,Columbus,United States,14.53,8.53
1926,Columbus,United States,13.54,8.73
1927,Columbus,United States,14.86,8.52
1928,Columbus,United States,13.66,8.63
1929,Columbus,United States,13.83,8.24
1930,Columbus,United States,14.35,8.63
1931,Columbus,United States,15.10,8.72
1932,Columbus,United States,14.68,8.71
1933,Columbus,United States,15.12,8.34
1934,Columbus,United States,14.36,8.63
1935,Columbus,United States,14.23,8.52
1936,Columbus,United States,14.38,8.55
1937,Columbus,United States,14.06,8.70
1938,Columbus,United States,15.05,8.86
1939,Columbus,United States,14.82,8.76
1940,Columbus,United States,13.22,8.76
1941,Columbus,United States,14.60,8.77
1942,Columbus,United States,14.06,8.73
1943,Columbus,United States,14.08,8.76
1944,Columbus,United States,14.46,8.85
1945,Columbus,United States,14.32,8.58
1946,Columbus,United States,14.97,8.68
1947,Columbus,United States,13.94,8.80
1948,Columbus,United States,14.47,8.75
1949,Columbus,United States,15.12,8.59
1950,Columbus,United States,14.09,8.37
1951,Columbus,United States,14.41,8.63
1952,Columbus,United States,14.74,8.64
1953,Columbus,United States,14.98,8.87
1954,Columbus,United States,14.96,8.56
1955,Columbus,United States,14.63,8.63
1956,Columbus,United States,14.63,8.28
1957,Columbus,United States,14.82,8.73
1958,Columbus,United States,13.34,8.77
1959,Columbus,United States,14.71,8.73
1960,Columbus,United States,13.63,8.58
1961,Columbus,United States,13.92,8.80
1962,Columbus,United States,14.11,8.75
1963,Columbus,United States,13.44,8.86
1964,Columbus,United States,14.28,8.41
1965,Columbus,United States,14.40,8.53
1966,Columbus,United States,13.64,8.60
1967,Columbus,United States,13.82,8.70
1968,Columbus,United States,13.61,8.52
1969,Columbus,United States,13.59,8.60
1970,Columbus,United States,14.29,8.70
1971,Columbus,United States,14.38,8.60
1972,Columbus,United States,14.17,8.50
1973,Columbus,United States,14.84,8.95
1974,Columbus,United States,14.53,8.47
1975,Columbus,United States,14.62,8.74
1976,Columbus,United States,13.37,8.35
1977,Columbus,United States,14.19,8.85
1978,Columbus,United States,13.59,8.69
1979,Columbus,United States,13.64,8.73
1980,Columbus,United States,14.05,8.98
1981,Columbus,United States,13.80,9.17
1982,Columbus,United States,14.50,8.64
1983,Columbus,United States,14.04,9.03
1984,Columbus,United States,14.31,8.69
1985,Columbus,United States,14.39,8.66
1986,Columbus,United States,15.13,8.83
1987,Columbus,United States,14.85,8.99
1988,Columbus,United States,13.99,9.20
1989,Columbus,United States,13.89,8.92
1990,Columbus,United States,15.54,9.23
1991,Columbus,United States,15.31,9.18
1992,Columbus,United States,14.02,8.84
1993,Columbus,United States,14.21,8.87
1994,Columbus,United States,14.39,9.04
1995,Columbus,United States,14.39,9.35
1996,Columbus,United States,13.92,9.04
1997,Columbus,United States,14.15,9.20
1998,Columbus,United States,15.92,9.52
1999,Columbus,United States,15.28,9.29
2000,Columbus,United States,14.61,9.20
2001,Columbus,United States,14.98,9.41
2002,Columbus,United States,15.20,9.57
2003,Columbus,United States,14.40,9.53
2004,Columbus,United States,14.88,9.32
2005,Columbus,United States,14.87,9.70
2006,Columbus,United States,15.31,9.53
2007,Columbus,United States,15.35,9.73
2008,Columbus,United States,14.46,9.43
2009,Columbus,United States,14.46,9.51
2010,Columbus,United States,14.64,9.70
2011,Columbus,United States,15.24,9.52
2012,Columbus,United States,15.91,9.51
2013,Columbus,United States,16.05,9.61
